ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,3.25,10.5625,3.25,0.0099,,1.0
AMD,_NaiveModel,no_event_day,1,0.9,0.81,0.9,0.002,,1.0
AMZN,_NaiveModel,no_event_day,1,3.92,15.3664,3.92,0.0151,,1.0
ASML,_NaiveModel,no_event_day,1,36.1101,1303.9399,36.1101,0.0219,,1.0
AVGO,_NaiveModel,no_event_day,1,10.08,101.6061,10.08,0.0282,,1.0
BRK-B,_NaiveModel,no_event_day,1,2.89,8.3522,2.89,0.0057,,1.0
CAT,_NaiveModel,no_event_day,1,7.86,61.7794,7.86,0.0098,,1.0
COST,_NaiveModel,no_event_day,1,3.07,9.4249,3.07,0.0033,,1.0
CRM,_NaiveModel,no_event_day,1,7.5,56.25,7.5,0.0284,,1.0
GOOGL,_NaiveModel,no_event_day,1,5.36,28.7298,5.36,0.0157,,1.0
JNJ,_NaiveModel,no_event_day,1,3.22,10.3684,3.22,0.0116,,1.0
JPM,_NaiveModel,no_event_day,1,5.84,34.1056,5.84,0.0161,,1.0
LLY,_NaiveModel,no_event_day,1,0.48,0.2304,0.48,0.0004,,1.0
LMT,_NaiveModel,no_event_day,1,1.4,1.9601,1.4,0.0026,,1.0
MA,_NaiveModel,no_event_day,1,2.43,5.9049,2.43,0.0041,,1.0
MCD,_NaiveModel,no_event_day,1,1.32,1.7424,1.32,0.0051,,1.0
META,_NaiveModel,no_event_day,1,17.83,317.9095,17.83,0.0292,,1.0
MRK,_NaiveModel,no_event_day,1,0.7,0.49,0.7,0.0046,,1.0
MSFT,_NaiveModel,no_event_day,1,13.3,176.8897,13.3,0.0261,,1.0
NEE,_NaiveModel,no_event_day,1,0.96,0.9216,0.96,0.0114,,1.0
NVDA,_NaiveModel,no_event_day,1,4.04,16.3215,4.04,0.0177,,1.0
ORCL,_NaiveModel,no_event_day,1,8.29,68.724,8.29,0.0538,,1.0
PG,_NaiveModel,no_event_day,1,0.72,0.5184,0.72,0.0049,,1.0
PLTR,_NaiveModel,no_event_day,1,13.07,170.8247,13.07,0.0716,,1.0
TSLA,_NaiveModel,no_event_day,1,19.36,374.809,19.36,0.0514,,1.0
TSM,_NaiveModel,no_event_day,1,1.51,2.2801,1.51,0.0036,,1.0
UNH,_NaiveModel,no_event_day,1,1.28,1.6384,1.28,0.0032,,1.0
V,_NaiveModel,no_event_day,1,0.35,0.1225,0.35,0.0009,,1.0
WMT,_NaiveModel,no_event_day,1,2.33,5.4289,2.33,0.0215,,1.0
XOM,_NaiveModel,no_event_day,1,1.94,3.7636,1.94,0.012,,1.0
