ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,5.15,26.5224,5.15,0.0151,,1.0
AMD,_NaiveModel,after_hours,1,1.37,1.8769,1.37,0.0022,,1.0
AMZN,_NaiveModel,after_hours,1,0.29,0.0841,0.29,0.0012,,1.0
ASML,_NaiveModel,after_hours,1,21.4399,459.6711,21.4399,0.0123,,1.0
AVGO,_NaiveModel,after_hours,1,2.45,6.0026,2.45,0.0069,,1.0
BRK-B,_NaiveModel,after_hours,1,0.3,0.09,0.3,0.0006,,1.0
CAT,_NaiveModel,after_hours,1,16.33,266.6695,16.33,0.0199,,1.0
COST,_NaiveModel,after_hours,1,26.29,691.1662,26.29,0.0285,,1.0
CRM,_NaiveModel,after_hours,1,4.2,17.64,4.2,0.0179,,1.0
GOOGL,_NaiveModel,after_hours,1,1.56,2.4337,1.56,0.0045,,1.0
JNJ,_NaiveModel,after_hours,1,0.54,0.2916,0.54,0.002,,1.0
JPM,_NaiveModel,after_hours,1,4.5,20.25,4.5,0.0131,,1.0
LLY,_NaiveModel,after_hours,1,1.5699,2.4647,1.5699,0.0013,,1.0
LMT,_NaiveModel,after_hours,1,4.14,17.1397,4.14,0.008,,1.0
MA,_NaiveModel,after_hours,1,1.57,2.4649,1.57,0.0028,,1.0
MCD,_NaiveModel,after_hours,1,0.52,0.2704,0.52,0.0022,,1.0
META,_NaiveModel,after_hours,1,25.9301,672.3677,25.9301,0.0345,,1.0
MRK,_NaiveModel,after_hours,1,0.8,0.64,0.8,0.0054,,1.0
MSFT,_NaiveModel,after_hours,1,18.24,332.6972,18.24,0.0353,,1.0
NEE,_NaiveModel,after_hours,1,0.46,0.2116,0.46,0.006,,1.0
NVDA,_NaiveModel,after_hours,1,0.49,0.2401,0.49,0.0022,,1.0
ORCL,_NaiveModel,after_hours,1,2.44,5.9535,2.44,0.0178,,1.0
PG,_NaiveModel,after_hours,1,0.55,0.3025,0.55,0.0038,,1.0
PLTR,_NaiveModel,after_hours,1,2.92,8.5264,2.92,0.0154,,1.0
TSLA,_NaiveModel,after_hours,1,5.83,33.9891,5.83,0.0157,,1.0
TSM,_NaiveModel,after_hours,1,0.54,0.2916,0.54,0.0012,,1.0
UNH,_NaiveModel,after_hours,1,1.58,2.4964,1.58,0.0042,,1.0
V,_NaiveModel,after_hours,1,0.6,0.36,0.6,0.0016,,1.0
WMT,_NaiveModel,after_hours,1,0.39,0.1521,0.39,0.0036,,1.0
XOM,_NaiveModel,after_hours,1,1.55,2.4025,1.55,0.0097,,1.0
