Date,Open,High,Low,Close,ticker
2025-04-22,520.1400146484375,529.2999877929688,519.1900024414062,527.25,SPY
2025-04-23,540.4299926757812,545.4299926757812,533.8800048828125,535.4199829101562,SPY
2025-04-24,536.719970703125,547.4299926757812,535.4500122070312,546.6900024414062,SPY
2025-04-25,546.6500244140625,551.0499877929688,543.6900024414062,550.6400146484375,SPY
2025-04-28,551.3900146484375,553.5499877929688,545.02001953125,550.8499755859375,SPY
2025-04-29,548.9099731445312,555.4500122070312,548.5499877929688,554.3200073242188,SPY
2025-04-30,547.5700073242188,556.52001953125,541.52001953125,554.5399780273438,SPY
2025-05-01,560.3699951171875,564.0700073242188,557.8599853515625,558.469970703125,SPY
2025-05-02,564.72998046875,568.3800048828125,562.3800048828125,566.760009765625,SPY
2025-05-05,562.5700073242188,566.6500244140625,561.7000122070312,563.510009765625,SPY
2025-05-06,557.9299926757812,563.3499755859375,556.9600219726562,558.7999877929688,SPY
2025-05-07,560.1500244140625,563.8200073242188,556.0399780273438,561.1500244140625,SPY
2025-05-08,565.239990234375,570.3099975585938,561.7000122070312,565.0599975585938,SPY
2025-05-09,566.47998046875,567.5,562.760009765625,564.3400268554688,SPY
2025-05-12,581.469970703125,583.0,577.0399780273438,582.989990234375,SPY
2025-05-13,583.4099731445312,589.0800170898438,582.8400268554688,586.8400268554688,SPY
2025-05-14,587.8099975585938,588.97998046875,585.5399780273438,587.5900268554688,SPY
2025-05-15,585.5599975585938,590.969970703125,585.0999755859375,590.4600219726562,SPY
2025-05-16,591.25,594.5,589.280029296875,594.2000122070312,SPY
2025-05-19,588.0999755859375,595.5399780273438,588.0999755859375,594.8499755859375,SPY
2025-05-20,593.0900268554688,594.0499877929688,589.5999755859375,592.8499755859375,SPY
2025-05-21,588.4400024414062,592.5800170898438,581.8200073242188,582.8599853515625,SPY
2025-05-22,582.6599731445312,586.6199951171875,581.4099731445312,583.0900268554688,SPY
2025-05-23,575.97998046875,581.8099975585938,575.5999755859375,579.1099853515625,SPY
2025-05-27,586.0700073242188,591.3099975585938,578.4299926757812,591.1500244140625,SPY
2025-05-28,591.5599975585938,592.77001953125,586.989990234375,587.72998046875,SPY
2025-05-29,593.0599975585938,593.2000122070312,586.0700073242188,590.0499877929688,SPY
2025-05-30,588.9299926757812,591.1300048828125,583.239990234375,589.3900146484375,SPY
2025-06-02,587.760009765625,592.7899780273438,585.0599975585938,592.7100219726562,SPY
2025-06-03,592.3400268554688,597.0800170898438,591.8499755859375,596.0900268554688,SPY
